ncsim: 10.20-s100: (c) Copyright 1995-2011 Cadence Design Systems, Inc.

-------------------------------------
Relinquished control to SimVision...
ncsim> 
ncsim> database -open waves -into waves.shm -default
Created default SHM database waves
ncsim> probe -create -shm alu_tb.a alu_tb.b alu_tb.command alu_tb.i alu_tb.j alu_tb.k alu_tb.l alu_tb.m alu_tb.out alu_tb.string_cmd
Created probe 1
ncsim> run
Input  a=0011, b=0000, command=      OR_B, Output out=0011
Input  a=0011, b=0000, command=     AND_L, Output out=0000
Input  a=0011, b=0000, command=     AND_B, Output out=0000
Input  a=0000, b=0000, command=      BUFF, Output out=0000
Input  a=0000, b=0000, command=     NOR_L, Output out=1111
Input  a=0000, b=0000, command=     NOR_B, Output out=1111
Input  a=0000, b=0000, command=    NAND_L, Output out=1111
Input  a=0000, b=0000, command=    NAND_B, Output out=1111
Input  a=0000, b=0000, command=      OR_L, Output out=0000
Input  a=0000, b=0000, command=      OR_B, Output out=0000
Input  a=0000, b=0000, command=     AND_L, Output out=0000
Input  a=0000, b=0000, command=     AND_B, Output out=0000
Input  a=0001, b=0000, command=      BUFF, Output out=0001
Input  a=0001, b=0000, command=     NOR_L, Output out=1110
Input  a=0001, b=0000, command=     NOR_B, Output out=1110
Input  a=0001, b=0000, command=    NAND_L, Output out=1111
Input  a=0001, b=0000, command=    NAND_B, Output out=1111
Input  a=0001, b=0000, command=      OR_L, Output out=0001
Input  a=0001, b=0000, command=      OR_B, Output out=0001
Input  a=0001, b=0000, command=     AND_L, Output out=0000
Input  a=0001, b=0000, command=     AND_B, Output out=0000
Input  a=0010, b=0000, command=      BUFF, Output out=0010
Input  a=0010, b=0000, command=     NOR_L, Output out=1110
Input  a=0010, b=0000, command=     NOR_B, Output out=1101
Input  a=0010, b=0000, command=    NAND_L, Output out=1111
Input  a=0010, b=0000, command=    NAND_B, Output out=1111
Input  a=0010, b=0000, command=      OR_L, Output out=0010
Input  a=0010, b=0000, command=      OR_B, Output out=0010
Input  a=0010, b=0000, command=     AND_L, Output out=0000
Input  a=0010, b=0000, command=     AND_B, Output out=0000
Input  a=0011, b=0000, command=      BUFF, Output out=0011
Input  a=0011, b=0000, command=     NOR_L, Output out=1110
Input  a=0011, b=0000, command=     NOR_B, Output out=1100
Input  a=0011, b=0000, command=    NAND_L, Output out=1111
Input  a=0011, b=0000, command=    NAND_B, Output out=1111
Input  a=0011, b=0000, command=      OR_L, Output out=0011
Input  a=0011, b=0000, command=      OR_B, Output out=0011
Input  a=0011, b=0000, command=     AND_L, Output out=0000
Input  a=0011, b=0000, command=     AND_B, Output out=0000
ncsim: *W,RNQUIE: Simulation is complete.
ncsim> ^C
ncsim> exit
ncsim: Memory Usage - 20.7M program + 32.0M data = 52.7M total
ncsim: CPU Usage - 66.4s system + 12.1s user = 78.5s total (452.4s, 17.3% cpu)
